timestamp,dataset_label,db,query_index,filter,latency_ms
2025-12-08T11:19:52.114967,SMALL,chroma,0,none,6.1824
2025-12-08T11:19:52.119045,SMALL,chroma,1,none,2.9945
2025-12-08T11:19:52.121044,SMALL,chroma,2,none,1.9991
2025-12-08T11:19:52.124239,SMALL,chroma,3,none,2.1937
2025-12-08T11:19:52.128237,SMALL,chroma,4,none,2.9719
2025-12-08T11:19:52.129240,SMALL,chroma,5,none,1.0026
2025-12-08T11:19:52.129240,SMALL,chroma,6,none,0.0000
2025-12-08T11:19:52.129240,SMALL,chroma,7,none,0.0000
2025-12-08T11:19:52.129240,SMALL,chroma,8,none,0.0000
2025-12-08T11:19:52.129240,SMALL,chroma,9,none,0.0000
2025-12-08T11:19:52.144874,SMALL,chroma,10,none,15.6338
2025-12-08T11:19:52.146880,SMALL,chroma,11,none,0.0000
2025-12-08T11:19:52.146880,SMALL,chroma,12,none,0.0000
2025-12-08T11:19:52.146880,SMALL,chroma,13,none,0.0000
2025-12-08T11:19:52.146880,SMALL,chroma,14,none,0.0000
2025-12-08T11:19:52.160627,SMALL,chroma,15,none,13.7472
2025-12-08T11:19:52.160627,SMALL,chroma,16,none,0.0000
2025-12-08T11:19:52.160627,SMALL,chroma,17,none,0.0000
2025-12-08T11:19:52.160627,SMALL,chroma,18,none,0.0000
2025-12-08T11:19:52.160627,SMALL,chroma,19,none,0.0000
2025-12-08T11:19:52.160627,SMALL,chroma,20,none,0.0000
2025-12-08T11:19:52.176310,SMALL,chroma,21,none,15.6834
2025-12-08T11:19:52.176310,SMALL,chroma,22,none,0.0000
2025-12-08T11:19:52.176310,SMALL,chroma,23,none,0.0000
2025-12-08T11:19:52.186117,SMALL,chroma,24,none,9.8071
2025-12-08T11:19:52.187955,SMALL,chroma,25,none,1.8375
2025-12-08T11:19:52.192601,SMALL,chroma,26,none,2.6400
2025-12-08T11:19:52.193992,SMALL,chroma,27,none,0.8845
2025-12-08T11:19:52.193992,SMALL,chroma,28,none,0.0000
2025-12-08T11:19:52.193992,SMALL,chroma,29,none,0.0000
2025-12-08T11:19:52.193992,SMALL,chroma,30,none,0.0000
2025-12-08T11:19:52.193992,SMALL,chroma,31,none,0.0000
2025-12-08T11:19:52.208573,SMALL,chroma,32,none,14.5802
2025-12-08T11:19:52.208573,SMALL,chroma,33,none,0.0000
2025-12-08T11:19:52.208573,SMALL,chroma,34,none,0.0000
2025-12-08T11:19:52.208573,SMALL,chroma,35,none,0.0000
2025-12-08T11:19:52.208573,SMALL,chroma,36,none,0.0000
2025-12-08T11:19:52.208573,SMALL,chroma,37,none,0.0000
2025-12-08T11:19:52.223305,SMALL,chroma,38,none,14.7326
2025-12-08T11:19:52.223305,SMALL,chroma,39,none,0.0000
2025-12-08T11:19:52.223305,SMALL,chroma,40,none,0.0000
2025-12-08T11:19:52.223305,SMALL,chroma,41,none,0.0000
2025-12-08T11:19:52.223305,SMALL,chroma,42,none,0.0000
2025-12-08T11:19:52.223305,SMALL,chroma,43,none,0.0000
2025-12-08T11:19:52.239113,SMALL,chroma,44,none,15.8079
2025-12-08T11:19:52.239113,SMALL,chroma,45,none,0.0000
2025-12-08T11:19:52.239113,SMALL,chroma,46,none,0.0000
2025-12-08T11:19:52.239113,SMALL,chroma,47,none,0.0000
2025-12-08T11:19:52.239113,SMALL,chroma,48,none,0.0000
2025-12-08T11:19:52.239113,SMALL,chroma,49,none,0.0000
2025-12-08T11:19:52.254880,SMALL,chroma,50,none,15.7666
2025-12-08T11:19:52.254880,SMALL,chroma,51,none,0.0000
2025-12-08T11:19:52.254880,SMALL,chroma,52,none,0.0000
2025-12-08T11:19:52.254880,SMALL,chroma,53,none,0.0000
2025-12-08T11:19:52.254880,SMALL,chroma,54,none,0.0000
2025-12-08T11:19:52.254880,SMALL,chroma,55,none,0.0000
2025-12-08T11:19:52.270948,SMALL,chroma,56,none,16.0680
2025-12-08T11:19:52.270948,SMALL,chroma,57,none,0.0000
2025-12-08T11:19:52.270948,SMALL,chroma,58,none,0.0000
2025-12-08T11:19:52.270948,SMALL,chroma,59,none,0.0000
2025-12-08T11:19:52.270948,SMALL,chroma,60,none,0.0000
2025-12-08T11:19:52.270948,SMALL,chroma,61,none,0.0000
2025-12-08T11:19:52.286234,SMALL,chroma,62,none,15.2867
2025-12-08T11:19:52.286234,SMALL,chroma,63,none,0.0000
2025-12-08T11:19:52.286234,SMALL,chroma,64,none,0.0000
2025-12-08T11:19:52.286234,SMALL,chroma,65,none,0.0000
2025-12-08T11:19:52.286234,SMALL,chroma,66,none,0.0000
2025-12-08T11:19:52.286234,SMALL,chroma,67,none,0.0000
2025-12-08T11:19:52.286234,SMALL,chroma,68,none,0.0000
2025-12-08T11:19:52.302328,SMALL,chroma,69,none,16.0935
2025-12-08T11:19:52.302328,SMALL,chroma,70,none,0.0000
2025-12-08T11:19:52.302328,SMALL,chroma,71,none,0.0000
2025-12-08T11:19:52.302328,SMALL,chroma,72,none,0.0000
2025-12-08T11:19:52.302328,SMALL,chroma,73,none,0.0000
2025-12-08T11:19:52.302328,SMALL,chroma,74,none,0.0000
2025-12-08T11:19:52.317981,SMALL,chroma,75,none,15.6534
2025-12-08T11:19:52.317981,SMALL,chroma,76,none,0.0000
2025-12-08T11:19:52.317981,SMALL,chroma,77,none,0.0000
2025-12-08T11:19:52.317981,SMALL,chroma,78,none,0.0000
2025-12-08T11:19:52.317981,SMALL,chroma,79,none,0.0000
2025-12-08T11:19:52.317981,SMALL,chroma,80,none,0.0000
2025-12-08T11:19:52.334068,SMALL,chroma,81,none,16.0868
2025-12-08T11:19:52.334068,SMALL,chroma,82,none,0.0000
2025-12-08T11:19:52.334068,SMALL,chroma,83,none,0.0000
2025-12-08T11:19:52.334068,SMALL,chroma,84,none,0.0000
2025-12-08T11:19:52.334068,SMALL,chroma,85,none,0.0000
2025-12-08T11:19:52.334068,SMALL,chroma,86,none,0.0000
2025-12-08T11:19:52.334068,SMALL,chroma,87,none,0.0000
2025-12-08T11:19:52.349800,SMALL,chroma,88,none,15.7325
2025-12-08T11:19:52.352271,SMALL,chroma,89,none,0.0000
2025-12-08T11:19:52.352271,SMALL,chroma,90,none,0.0000
2025-12-08T11:19:52.352271,SMALL,chroma,91,none,0.0000
2025-12-08T11:19:52.352271,SMALL,chroma,92,none,0.0000
2025-12-08T11:19:52.352271,SMALL,chroma,93,none,0.0000
2025-12-08T11:19:52.365534,SMALL,chroma,94,none,13.2632
2025-12-08T11:19:52.365534,SMALL,chroma,95,none,0.0000
2025-12-08T11:19:52.365534,SMALL,chroma,96,none,0.0000
2025-12-08T11:19:52.365534,SMALL,chroma,97,none,0.0000
2025-12-08T11:19:52.365534,SMALL,chroma,98,none,0.0000
2025-12-08T11:19:52.365534,SMALL,chroma,99,none,0.0000
2025-12-08T11:19:52.415987,SMALL,pgvector,0,none,0.0000
2025-12-08T11:19:52.421501,SMALL,pgvector,1,none,5.5137
2025-12-08T11:19:52.421501,SMALL,pgvector,2,none,0.0000
2025-12-08T11:19:52.421501,SMALL,pgvector,3,none,0.0000
2025-12-08T11:19:52.429741,SMALL,pgvector,4,none,8.2405
2025-12-08T11:19:52.429741,SMALL,pgvector,5,none,0.0000
2025-12-08T11:19:52.429741,SMALL,pgvector,6,none,0.0000
2025-12-08T11:19:52.429741,SMALL,pgvector,7,none,0.0000
2025-12-08T11:19:52.441180,SMALL,pgvector,8,none,11.4393
2025-12-08T11:19:52.445582,SMALL,pgvector,9,none,4.4017
2025-12-08T11:19:52.445582,SMALL,pgvector,10,none,0.0000
2025-12-08T11:19:52.445582,SMALL,pgvector,11,none,0.0000
2025-12-08T11:19:52.445582,SMALL,pgvector,12,none,0.0000
2025-12-08T11:19:52.457895,SMALL,pgvector,13,none,12.3131
2025-12-08T11:19:52.461182,SMALL,pgvector,14,none,3.2866
2025-12-08T11:19:52.464046,SMALL,pgvector,15,none,2.8644
2025-12-08T11:19:52.467186,SMALL,pgvector,16,none,3.1397
2025-12-08T11:19:52.470749,SMALL,pgvector,17,none,3.5627
2025-12-08T11:19:52.472772,SMALL,pgvector,18,none,2.0232
2025-12-08T11:19:52.476524,SMALL,pgvector,19,none,3.7527
2025-12-08T11:19:52.477488,SMALL,pgvector,20,none,0.9634
2025-12-08T11:19:52.477488,SMALL,pgvector,21,none,0.0000
2025-12-08T11:19:52.477488,SMALL,pgvector,22,none,0.0000
2025-12-08T11:19:52.486708,SMALL,pgvector,23,none,9.2196
2025-12-08T11:19:52.489221,SMALL,pgvector,24,none,0.0000
2025-12-08T11:19:52.492233,SMALL,pgvector,25,none,3.0122
2025-12-08T11:19:52.492233,SMALL,pgvector,26,none,0.0000
2025-12-08T11:19:52.492233,SMALL,pgvector,27,none,0.0000
2025-12-08T11:19:52.492233,SMALL,pgvector,28,none,0.0000
2025-12-08T11:19:52.492233,SMALL,pgvector,29,none,0.0000
2025-12-08T11:19:52.508017,SMALL,pgvector,30,none,15.7838
2025-12-08T11:19:52.508586,SMALL,pgvector,31,none,0.0000
2025-12-08T11:19:52.513646,SMALL,pgvector,32,none,2.2078
2025-12-08T11:19:52.513646,SMALL,pgvector,33,none,0.0000
2025-12-08T11:19:52.513646,SMALL,pgvector,34,none,0.0000
2025-12-08T11:19:52.513646,SMALL,pgvector,35,none,0.0000
2025-12-08T11:19:52.523828,SMALL,pgvector,36,none,10.1826
2025-12-08T11:19:52.523828,SMALL,pgvector,37,none,0.0000
2025-12-08T11:19:52.528459,SMALL,pgvector,38,none,4.6306
2025-12-08T11:19:52.528459,SMALL,pgvector,39,none,0.0000
2025-12-08T11:19:52.528459,SMALL,pgvector,40,none,0.0000
2025-12-08T11:19:52.528459,SMALL,pgvector,41,none,0.0000
2025-12-08T11:19:52.539551,SMALL,pgvector,42,none,11.0917
2025-12-08T11:19:52.543812,SMALL,pgvector,43,none,2.0840
2025-12-08T11:19:52.548460,SMALL,pgvector,44,none,4.6480
2025-12-08T11:19:52.548460,SMALL,pgvector,45,none,0.0000
2025-12-08T11:19:52.548460,SMALL,pgvector,46,none,0.0000
2025-12-08T11:19:52.555499,SMALL,pgvector,47,none,7.0391
2025-12-08T11:19:52.555499,SMALL,pgvector,48,none,0.0000
2025-12-08T11:19:52.562623,SMALL,pgvector,49,none,7.1247
2025-12-08T11:19:52.564305,SMALL,pgvector,50,none,1.6813
2025-12-08T11:19:52.564305,SMALL,pgvector,51,none,0.0000
2025-12-08T11:19:52.571270,SMALL,pgvector,52,none,1.7509
2025-12-08T11:19:52.571945,SMALL,pgvector,53,none,0.0000
2025-12-08T11:19:52.571945,SMALL,pgvector,54,none,0.0000
2025-12-08T11:19:52.571945,SMALL,pgvector,55,none,0.0000
2025-12-08T11:19:52.571945,SMALL,pgvector,56,none,0.0000
2025-12-08T11:19:52.571945,SMALL,pgvector,57,none,0.0000
2025-12-08T11:19:52.586821,SMALL,pgvector,58,none,0.0000
2025-12-08T11:19:52.592461,SMALL,pgvector,59,none,2.5487
2025-12-08T11:19:52.592461,SMALL,pgvector,60,none,0.0000
2025-12-08T11:19:52.592461,SMALL,pgvector,61,none,0.0000
2025-12-08T11:19:52.592461,SMALL,pgvector,62,none,0.0000
2025-12-08T11:19:52.602866,SMALL,pgvector,63,none,10.4046
2025-12-08T11:19:52.602866,SMALL,pgvector,64,none,0.0000
2025-12-08T11:19:52.602866,SMALL,pgvector,65,none,0.0000
2025-12-08T11:19:52.610397,SMALL,pgvector,66,none,0.0000
2025-12-08T11:19:52.610397,SMALL,pgvector,67,none,0.0000
2025-12-08T11:19:52.610397,SMALL,pgvector,68,none,0.0000
2025-12-08T11:19:52.618604,SMALL,pgvector,69,none,0.0000
2025-12-08T11:19:52.618604,SMALL,pgvector,70,none,0.0000
2025-12-08T11:19:52.626378,SMALL,pgvector,71,none,7.7741
2025-12-08T11:19:52.629951,SMALL,pgvector,72,none,3.5732
2025-12-08T11:19:52.629951,SMALL,pgvector,73,none,0.0000
2025-12-08T11:19:52.634463,SMALL,pgvector,74,none,4.5118
2025-12-08T11:19:52.634463,SMALL,pgvector,75,none,0.0000
2025-12-08T11:19:52.634463,SMALL,pgvector,76,none,0.0000
2025-12-08T11:19:52.634463,SMALL,pgvector,77,none,0.0000
2025-12-08T11:19:52.634463,SMALL,pgvector,78,none,0.0000
2025-12-08T11:19:52.650115,SMALL,pgvector,79,none,15.6522
2025-12-08T11:19:52.650115,SMALL,pgvector,80,none,0.0000
2025-12-08T11:19:52.654468,SMALL,pgvector,81,none,4.3528
2025-12-08T11:19:52.654468,SMALL,pgvector,82,none,0.0000
2025-12-08T11:19:52.654468,SMALL,pgvector,83,none,0.0000
2025-12-08T11:19:52.654468,SMALL,pgvector,84,none,0.0000
2025-12-08T11:19:52.665957,SMALL,pgvector,85,none,11.4892
2025-12-08T11:19:52.670210,SMALL,pgvector,86,none,4.2534
2025-12-08T11:19:52.670210,SMALL,pgvector,87,none,0.0000
2025-12-08T11:19:52.670210,SMALL,pgvector,88,none,0.0000
2025-12-08T11:19:52.677071,SMALL,pgvector,89,none,0.0000
2025-12-08T11:19:52.681675,SMALL,pgvector,90,none,4.6039
2025-12-08T11:19:52.681675,SMALL,pgvector,91,none,0.0000
2025-12-08T11:19:52.688086,SMALL,pgvector,92,none,6.4108
2025-12-08T11:19:52.688086,SMALL,pgvector,93,none,0.0000
2025-12-08T11:19:52.688086,SMALL,pgvector,94,none,0.0000
2025-12-08T11:19:52.697410,SMALL,pgvector,95,none,2.5330
2025-12-08T11:19:52.701869,SMALL,pgvector,96,none,3.0541
2025-12-08T11:19:52.704453,SMALL,pgvector,97,none,2.5837
2025-12-08T11:19:52.708660,SMALL,pgvector,98,none,3.0313
2025-12-08T11:19:52.711916,SMALL,pgvector,99,none,2.8443
2025-12-08T11:19:52.799579,SMALL,chroma,0,category=A,12.7261
2025-12-08T11:19:52.815814,SMALL,chroma,1,category=A,16.2354
2025-12-08T11:19:52.831634,SMALL,chroma,2,category=A,15.8203
2025-12-08T11:19:52.831634,SMALL,chroma,3,category=A,0.0000
2025-12-08T11:19:52.847561,SMALL,chroma,4,category=A,15.9271
2025-12-08T11:19:52.865050,SMALL,chroma,5,category=A,17.4890
2025-12-08T11:19:52.879117,SMALL,chroma,6,category=A,14.0665
2025-12-08T11:19:52.887016,SMALL,chroma,7,category=A,7.8990
2025-12-08T11:19:52.903468,SMALL,chroma,8,category=A,16.4523
